24-Hour Passes Purchased (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch):,Date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Total Annual Memberships Sold,Trips over the past 24-hours (midnight to 11:59pm)
0.0,,0.0,2043,9767,5/27/2013,"21,533",21.533,17216.0,,9767
0.0,,0.0,2598,14982,5/28/2013,"30,313",8.78,19816.0,,5215
0.0,,0.0,2167,25963,5/29/2013,"52,211",21.898000000000003,21986.0,,10981
0.0,,0.0,1998,35813,5/30/2013,"72,532",20.320999999999998,23985.0,,9850
0.0,,0.0,1630,45066,5/31/2013,"92,775",20.243,25615.0,,9253
0.0,,0.0,1141,54918,6/1/2013,"119,122",26.346999999999998,26756.0,,9852
4723.0,,289.0,1496,72508,6/2/2013,"171,266",52.143,28253.0,,17590
1160.0,,221.0,1363,81107,6/3/2013,"190,173",18.907,29616.0,,8599
2922.0,,394.0,1479,98696,6/4/2013,"238,839",48.666000000000004,31095.0,,17589
2821.0,,279.0,1530,116129,6/5/2013,"283,757",44.917,32620.0,,17433
1872.0,,210.0,1334,129861,6/6/2013,"314,743",30.987,33954.0,,13732
66.0,,11.0,495,131254,6/7/2013,"316,809",2.065,34449.0,,1393
5013.0,,230.0,784,151153,6/8/2013,"371,473",54.665,35233.0,,19899
5772.0,,275.0,1062,174389,6/9/2013,"443,077",71.604,36295.0,,23236
290.0,,82.0,791,178893,6/10/2013,"453,215",10.138,37086.0,,4504
1836.0,,273.0,808,193531,6/11/2013,"487,845",34.63,37894.0,,14638
2767.0,,316.0,911,212491,6/12/2013,"533,559",45.714,38805.0,,18960
701.0,,119.0,637,221273,6/13/2013,"548,634",15.075,39442.0,,8782
2268.0,,211.0,636,237696,6/14/2013,"582,614",33.98,40078.0,,16423
6107.0,,319.0,624,264972,6/15/2013,"655,406",72.792,40702.0,,27276
4413.0,,314.0,839,288582,6/16/2013,"714,979",59.573,41541.0,,23610
2378.0,,530.0,1023,309860,6/17/2013,"758,876",43.897,42564.0,,21278
1236.0,,277.0,830,324686,6/18/2013,"786,546",27.67,43394.0,,14826
2678.0,,607.0,829,350953,6/19/2013,"840,951",54.405,44223.0,,26267
2814.0,,421.0,801,379947,6/20/2013,"900,886",59.935,45024.0,,28994
3465.0,,408.0,791,410607,6/21/2013,"965,759",64.872,45815.0,,30660
5902.0,,383.0,633,442492,6/22/2013,"1,046,191",80.433,46448.0,,31885
4959.0,,279.0,755,473145,6/23/2013,"1,122,641",76.45,47203.0,,30653
1844.0,,386.0,932,499781,6/24/2013,"1,173,305",50.663999999999994,48135.0,,26636
1937.0,,343.0,780,530207,6/25/2013,"1,229,380",56.075,48915.0,,30426
2000.0,,301.0,750,562529,6/26/2013,"1,289,043",59.663000000000004,49665.0,,32322
1680.0,,223.0,690,590623,6/27/2013,"1,344,304",55.26,50355.0,,28094
2268.0,,291.0,674,621218,6/28/2013,"1,402,340",58.037,51029.0,,30595
4895.0,,296.0,476,654165,6/29/2013,"1,479,567",77.226,51505.0,,32947
3592.0,,178.0,620,681450,6/30/2013,"1,540,619",61.052,52125.0,,27285
846.0,,167.0,597,701601,7/1/2013,"1,576,787",36.168,52722.0,,20151
1435.0,,219.0,588,728283,7/2/2013,"1,625,520",48.733000000000004,53310.0,,26682
1419.0,,189.0,438,753792,7/3/2013,"1,671,537",46.016000000000005,53748.0,,25509
4219.0,,257.0,325,779796,7/4/2013,"1,735,210",63.674,54073.0,,26004
2803.0,,215.0,434,805337,7/5/2013,"1,788,629",53.419,54507.0,,25541
3178.0,,172.0,336,829034,7/6/2013,"1,842,391",53.761,54843.0,,23697
2703.0,,186.0,441,852722,7/7/2013,"1,893,025",50.63399999999999,55284.0,,23688
1453.0,,321.0,687,878785,7/8/2013,"1,942,856",49.831,55971.0,,26063
1379.0,,287.0,639,909714,7/9/2013,"1,998,355",55.498999999999995,56610.0,,30929
1435.0,,223.0,584,940419,7/10/2013,"2,054,304",55.948,57194.0,,30705
1478.0,,196.0,531,970108,7/11/2013,"2,110,697",56.393,57725.0,,29689
1096.0,,118.0,408,992925,7/12/2013,"2,150,667",39.97,58133.0,,22817
3285.0,,213.0,362,1023057,7/13/2013,"2,215,501",64.833,58495.0,,30132
3681.0,,224.0,459,1056602,7/14/2013,"2,290,520",75.02,58954.0,,33545
1382.0,,273.0,639,1089167,7/15/2013,"2,348,275",57.755,59593.0,,32565
1288.0,,251.0,536,1123924,7/16/2013,"2,410,132",61.856,60129.0,,34757
1303.0,,201.0,490,1159096,7/17/2013,"2,470,829",60.698,60619.0,,35172
1094.0,,143.0,389,1192318,7/18/2013,"2,527,057",56.228,61008.0,,33222
1389.0,,164.0,358,1222985,7/19/2013,"2,579,841",52.784,61366.0,,30667
2811.0,,169.0,286,1252130,7/20/2013,"2,638,640",58.799,61652.0,,29145
3502.0,,191.0,422,1286824,7/21/2013,"2,714,950",76.31,62074.0,,34694
1005.0,,184.0,503,1316611,7/22/2013,"2,765,095",50.145,62577.0,,29787
1390.0,,220.0,449,1353907,7/23/2013,"2,831,006",65.911,63026.0,,37296
1708.0,,211.0,440,1394606,7/24/2013,"2,905,475",74.469,63466.0,,40699
1163.0,,144.0,356,1430813,7/25/2013,"2,967,663",62.188,63822.0,,36207
